ee_sandbox_ee_fifa_parsed_players_parsed_name,position_group,ee_sandbox_ee_fifa_parsed_teams_parsed_name,avg_rating,duel_win,dribble_success,tackle_success,passes_per_90,minutes_played,matches_played
Lucas Paquetá,Midfielder,Brazil,7.075,0.52381,0.333333,0.666667,61.415608,551,9
Giovanni Reyna,Midfielder,USA,6.840000000000001,0.6,0.75,,56.42487,193,9
Tim Ream,Defender,USA,6.9125,0.564103,1,0.8,72.372414,725,9
Weston McKennie,Midfielder,USA,6.822222222222222,0.384615,0.636364,0.8,44.129834,724,9
David Ospina,Goalkeeper,Colombia,7.1,,,,22.384615,390,9
Jefferson Lerma,Midfielder,Colombia,6.699999999999999,0.490566,,0.666667,57.397959,588,9
Johan Mojica,Defender,Colombia,6.8625,0.528571,0.133333,0.818182,38.884615,780,9
Brenden Aaronson,Midfielder,USA,6.4799999999999995,0.361111,0.2,0.428571,33.626374,182,9
Milad Mohammadi,Defender,Iran,6.6875,0.603175,0.666667,0.541667,25.798687,457,9
Virgil van Dijk,Defender,Netherlands,7.222222222222222,0.611111,,0.666667,73.965517,870,9
Timothy Castagne,Defender,Belgium,6.922222222222222,0.551724,,0.52381,48.406375,753,9
Tyler Adams,Midfielder,USA,7.025,0.567568,0.75,0.7,63.846154,702,9
Davinson Sánchez,Defender,Colombia,7.122222222222222,0.5,1,0.5,58.862069,870,9
Ramin Rezaeian,Defender,Iran,7.262499999999999,0.567568,1,0.652174,28.125,720,9
Sergiño Dest,Defender,USA,6.655555555555555,0.409091,0.576923,0.6,40.329489,607,9
Gonçalo Guedes,Midfielder,Portugal,6.666666666666667,0.435897,0.5,0.4,22.77551,245,9
Yerry Mina,Defender,Colombia,7.866666666666667,0.625,1,0.75,48.139535,301,9
Silvan Widmer,Midfielder,Switzerland,6.675,0.522727,1,0.733333,40.449438,445,9
Cody Gakpo,Midfielder,Netherlands,7.5,0.43956,0.347826,0.272727,23.264563,824,9
Denzel Dumfries,Midfielder,Netherlands,6.855555555555555,0.40404,,0.785714,32.482759,870,9
Antonee Robinson,Defender,USA,6.95,0.553846,0.692308,0.5,48.35443,711,9
Salem Al-Dawsari,Midfielder,Saudi Arabia,6.7444444444444445,0.46087,0.552632,0.588235,40.419847,786,9
Matt Turner,Goalkeeper,USA,6.76,,,,26,450,9
Camilo Vargas,Goalkeeper,Colombia,6.88,,,,35.4375,480,9
Ellyes Skhiri,Midfielder,Tunisia,6.633333333333334,0.491803,0.5,0.473684,45.39823,791,9
Timothy Weah,Midfielder,USA,6.6499999999999995,0.192308,0.666667,,30,396,9
