ee_sandbox_ee_fifa_parsed_players_parsed_name,position_group,ee_sandbox_ee_fifa_parsed_teams_parsed_name,minutes_played,goals,xg,assists,xa,matches_played
Oscar Bobb,Midfielder,Norway,233,0,0.589,0,0.48,6
Brenden Aaronson,Midfielder,USA,182,0,0.587,0,0.376,9
Federico Viñas,Forward,Uruguay,192,0,0.585,0,0.082,3
Finn Surman,Defender,New Zealand,281,1,0.5740000000000001,0,0.134,3
Theo Hernández,Defender,France,763,1,0.5690000000000001,2,1.128,15
Piero Hincapié,Defender,Ecuador,611,0,0.569,0,0.16699999999999998,7
Piotr Zielinski,Midfielder,Poland,589,1,0.567,0,0.366,7
John Yeboah,Forward,Ecuador,315,0,0.56,0,0.57,4
Nico Elvedi,Defender,Switzerland,787,0,0.559,0,0.175,13
Gustavo Puerta,Midfielder,Colombia,470,0,0.5529999999999999,1,0.403,5
Edmilson Junior,Midfielder,Qatar,212,0,0.5469999999999999,1,0.608,3
Michal Sadílek,Midfielder,Czechia,190,1,0.543,0,0.135,3
Thiago Almada,Midfielder,Argentina,256,0,0.533,0,0.342,15
Hiroki Sakai,Defender,Japan,479,0,0.533,0,0.092,8
Mario Pašalić,Midfielder,Croatia,396,0,0.533,0,0.6709999999999999,11
Marcelo Brozovic,Midfielder,Croatia,1012,0,0.532,1,0.158,14
Brandon Mechele,Defender,Belgium,575,0,0.53,0,0.111,6
Issam Jebali,Forward,Tunisia,184,0,0.529,0,0.195,3
Ritsu Doan,Midfielder,Japan,500,2,0.526,1,0.796,8
Neil El Aynaoui,Midfielder,Morocco,563,0,0.519,0,0.20400000000000001,6
Elijah Just,Midfielder,New Zealand,265,3,0.5189999999999999,0,0.362,3
Mohamed Kanno,Midfielder,Saudi Arabia,510,0,0.518,0,0.17400000000000002,9
Luis Javier Suárez,Forward,Colombia,332,0,0.517,1,0.156,5
Darwin Núñez,Forward,Uruguay,397,0,0.514,0,0.086,6
Nathaniel Brown,Defender,Germany,283,1,0.512,1,1.111,3
Cristian Romero,Defender,Argentina,1159,1,0.511,0,0.15,15
Davinson Sánchez,Defender,Colombia,870,0,0.51,0,0.112,9
Nahuel Molina,Defender,Argentina,1099,1,0.509,1,0.358,15
Steven Bergwijn,Midfielder,Netherlands,214,0,0.506,0,0.25,5
Remo Freuler,Midfielder,Switzerland,925,1,0.503,0,0.77,14
Idrissa Gana Gueye,Midfielder,Senegal,904,0,0.5,0,0.921,10
Amadou Onana,Midfielder,Belgium,211,0,0.499,0,0.257,7
Pape Gueye,Midfielder,Senegal,388,2,0.495,1,0.20400000000000001,8
Kalidou Koulibaly,Defender,Senegal,792,1,0.494,0,0.055,11
Pepe,Defender,Portugal,720,2,0.49300000000000005,0,0.04,9
Saman Ghoddos,Midfielder,Iran,285,0,0.491,0,0.055,9
Nico Williams,Midfielder,Spain,266,0,0.489,1,0.48000000000000004,12
Djed Spence,Defender,England,415,0,0.488,0,0.11499999999999999,8
Aurélien Tchouaméni,Midfielder,France,983,1,0.476,1,0.622,15
Thapelo Maseko,Midfielder,South Africa,245,1,0.47500000000000003,0,0.053000000000000005,4
Ladislav Krejčí,Defender,Czechia,277,1,0.469,0,0.07100000000000001,3
Aleksandar Pavlović,Midfielder,Germany,274,0,0.467,0,0.492,4
Ezri Konsa,Defender,England,660,1,0.46599999999999997,0,0.106,8
Joshua Kimmich,Midfielder,Germany,893,0,0.46399999999999997,2,2.6109999999999998,10
Kenan Yıldız,Forward,Türkiye,226,0,0.45599999999999996,0,0.7080000000000001,3
Torbjørn Heggem,Defender,Norway,444,0,0.45,0,0.027,6
Almoez Ali,Midfielder,Qatar,244,0,0.434,0,0.008,6
Wahbi Khazri,Forward,Tunisia,346,3,0.43,2,0.018,6
Mahmoud Trézéguet,Midfielder,Egypt,411,1,0.43,1,0.057999999999999996,8
Rodri,Midfielder,Spain,1116,0,0.429,0,1.314,12
Yeltsin Tejeda,Midfielder,Costa Rica,276,1,0.428,1,0.042,6
Raphael Guerreiro,Defender,Portugal,639,1,0.426,3,0.673,9
Luis Suárez,Forward,Uruguay,597,2,0.42200000000000004,2,0.12,8
Noni Madueke,Forward,England,288,0,0.42,0,1.619,8
Marc Cucurella,Defender,Spain,750,0,0.42,2,1.181,8
Brahim Díaz,Midfielder,Morocco,462,0,0.41900000000000004,4,0.931,6
Luka Modrić,Midfielder,Croatia,1669,2,0.416,2,1.502,18
John Stones,Defender,England,1424,2,0.413,0,0.175,20
